-- ============================================
-- SCRIPT DE INSERCIÓN DE 50 PRODUCTOS
-- Base de datos: forneria
-- ============================================

-- Primero insertamos registros en la tabla nutricional (necesarios para productos)
INSERT INTO `nutricional` (`id`, `calorias`, `proteinas`, `grasas`, `carbohidratos`, `azucares`, `sodio`) VALUES
(3, 250.00, 8.00, 3.50, 48.00, 5.00, 450.00),
(4, 280.00, 9.00, 4.00, 52.00, 6.00, 480.00),
(5, 320.00, 10.00, 12.00, 45.00, 15.00, 350.00),
(6, 290.00, 7.50, 8.00, 50.00, 18.00, 320.00),
(7, 180.00, 5.00, 2.00, 35.00, 8.00, 280.00),
(8, 350.00, 6.00, 15.00, 48.00, 22.00, 300.00),
(9, 270.00, 8.50, 5.00, 47.00, 7.00, 420.00),
(10, 310.00, 9.50, 10.00, 46.00, 12.00, 380.00);

-- Ahora insertamos los 50 productos
INSERT INTO `productos` (`nombre`, `descripcion`, `marca`, `precio`, `caducidad`, `elaboracion`, `tipo`, `stock_actual`, `stock_minimo`, `stock_maximo`, `presentacion`, `formato`, `creado`, `modificado`, `categorias_id`, `nutricional_id`, `cantidad`, `estado_merma`) VALUES
-- Panes artesanales (1-15)
('Pan francés tradicional', 'Pan francés crujiente por fuera, suave por dentro', 'Forneria', 1100.00, '2025-12-05', '2025-12-02', 'Panaderia', 45, 10, 100, 'unidad', '250 g', NOW(), NOW(), 1, 3, 45, 'activo'),
('Pan amasado casero', 'Pan amasado estilo casero', 'Forneria', 1300.00, '2025-12-05', '2025-12-02', 'Panaderia', 38, 10, 80, 'unidad', '300 g', NOW(), NOW(), 1, 4, 38, 'activo'),
('Cookies de doble chocolate', 'Galletas de chocolate con chips', 'Forneria', 2100.00, '2025-12-10', '2025-12-02', 'Snack', 48, 15, 115, 'pack', '300 g', NOW(), NOW(), 2, 8, 48, 'activo'),
('Cookies de avena y pasas', 'Galletas de avena con pasas', 'Forneria', 1900.00, '2025-12-10', '2025-12-02', 'Snack', 52, 15, 120, 'pack', '300 g', NOW(), NOW(), 2, 7, 52, 'activo'),
('Galletas de jengibre', 'Galletas especiadas con jengibre', 'Forneria', 1850.00, '2025-12-11', '2025-12-02', 'Snack', 46, 12, 105, 'pack', '250 g', NOW(), NOW(), 2, 6, 46, 'activo'),
('Galletas de limón', 'Galletas con ralladura de limón', 'Forneria', 1800.00, '2025-12-11', '2025-12-02', 'Snack', 48, 12, 110, 'pack', '250 g', NOW(), NOW(), 2, 6, 48, 'activo'),
('Galletas de coco', 'Galletas con coco rallado', 'Forneria', 1900.00, '2025-12-11', '2025-12-02', 'Snack', 44, 12, 100, 'pack', '250 g', NOW(), NOW(), 2, 6, 44, 'activo'),
('Galletas de almendra', 'Galletas con harina de almendra', 'Forneria', 2300.00, '2025-12-12', '2025-12-02', 'Snack', 42, 12, 95, 'pack', '250 g', NOW(), NOW(), 2, 7, 42, 'activo'),
('Galletas de canela', 'Galletas especiadas con canela', 'Forneria', 1800.00, '2025-12-12', '2025-12-02', 'Snack', 48, 12, 110, 'pack', '250 g', NOW(), NOW(), 2, 6, 48, 'activo'),
('Galletas saladas', 'Galletas saladas tipo cracker', 'Forneria', 1700.00, '2025-12-14', '2025-12-02', 'Snack', 55, 15, 125, 'pack', '300 g', NOW(), NOW(), 2, 3, 55, 'activo'),
('Galletas de sésamo', 'Galletas con semillas de sésamo', 'Forneria', 1850.00, '2025-12-14', '2025-12-02', 'Snack', 52, 15, 120, 'pack', '250 g', NOW(), NOW(), 2, 7, 52, 'activo'),

-- Empanadas y productos salados (41-50)
('Empanada de carne', 'Empanada rellena de carne molida', 'Forneria', 1500.00, '2025-12-05', '2025-12-02', 'Panaderia', 40, 12, 90, 'unidad', '1 unidad', NOW(), NOW(), 1, 4, 40, 'activo'),
('Empanada de pollo', 'Empanada rellena de pollo', 'Forneria', 1400.00, '2025-12-05', '2025-12-02', 'Panaderia', 38, 12, 85, 'unidad', '1 unidad', NOW(), NOW(), 1, 4, 38, 'activo'),
('Empanada de jamón y queso', 'Empanada de jamón con queso', 'Forneria', 1300.00, '2025-12-05', '2025-12-02', 'Panaderia', 42, 12, 95, 'unidad', '1 unidad', NOW(), NOW(), 1, 5, 42, 'activo'),
('Empanada de champiñones', 'Empanada vegetariana de champiñones', 'Forneria', 1400.00, '2025-12-05', '2025-12-02', 'Panaderia', 35, 10, 80, 'unidad', '1 unidad', NOW(), NOW(), 1, 4, 35, 'activo'),
('Empanada de atún', 'Empanada rellena de atún', 'Forneria', 1450.00, '2025-12-06', '2025-12-02', 'Panaderia', 34, 10, 75, 'unidad', '1 unidad', NOW(), NOW(), 1, 5, 34, 'activo'),
('Empanada de pino', 'Empanada chilena tradicional', 'Forneria', 1600.00, '2025-12-06', '2025-12-02', 'Panaderia', 36, 10, 80, 'unidad', '1 unidad', NOW(), NOW(), 1, 5, 36, 'activo'),
('Quiche de queso', 'Quiche lorraine de queso', 'Forneria', 2200.00, '2025-12-07', '2025-12-02', 'Panaderia', 24, 8, 55, 'porción', '1 porción', NOW(), NOW(), 1, 8, 24, 'activo'),
('Pizza individual margarita', 'Pizza margarita personal', 'Forneria', 2500.00, '2025-12-08', '2025-12-02', 'Panaderia', 30, 10, 70, 'unidad', '1 unidad', NOW(), NOW(), 1, 10, 30, 'activo'),
('Focaccia con tomate', 'Focaccia con tomate cherry', 'Forneria', 2400.00, '2025-12-09', '2025-12-02', 'Panaderia', 22, 8, 55, 'unidad', '350 g', NOW(), NOW(), 1, 9, 22, 'activo'),
('Calzone de jamón', 'Calzone relleno de jamón y queso', 'Forneria', 2800.00, '2025-12-09', '2025-12-02', 'Panaderia', 24, 8, 55, 'unidad', '1 unidad', NOW(), NOW(), 1, 10, 24, 'activo');
